"county","mean_Pond","min_Pond","max_Pond"
"Adams",132.224794894085,90.6713046998504,162.816137744888
"Alexander",38.0357537910843,26.1838099690204,42.6821563431928
"Bond",65.7583434691655,26.7062305110608,88.8186523205155
"Boone",6.9827722102212,0.76573274350902,10.2398638494933
"Brown",67.4677487172,43.5214459872991,80.4445576511636
"Bureau",13.4616127610343,6.39781944452611,26.1309293639334
"Calhoun",119.05634076548,94.0079639545289,133.173434841517
"Carroll",9.36658426443044,3.0917071807517,13.8582459153825
"Cass",52.9610146473087,41.1186975601708,67.7386992222587
"Champaign",14.4114623048616,3.42489011019221,26.087786864795
"Christian",24.1231509278171,8.75373295745014,40.7871647240389
"Clark",34.5903086207942,17.2967502022701,47.703193167576
"Clay",48.1646062225679,24.7249155575752,72.2901508532131
"Clinton",47.7496574660603,19.7244079219605,71.3733065736665
"Coles",11.607574494626,4.82564662277987,14.8398873224782
"Cook",0,0,0
"Crawford",51.5749087908104,32.9830344852903,60.3209302157176
"Cumberland",5.56813763628877,2.54915821726819,7.53399786306316
"De Witt",14.9691926504854,6.78557008301803,21.8190425329159
"DeKalb",0,0,0
"Douglas",4.24733995922991,3.16851896214459,4.99523951306089
"DuPage",0,0,0
"Edgar",23.7716452402065,12.4302678551935,29.5040994395426
"Edwards",43.6439177248878,22.4521248092835,57.8288124646281
"Effingham",14.0366286983109,6.32913847136866,18.745195045625
"Fayette",93.3818860371593,66.6043826044515,114.528511173971
"Ford",2.30029848072708,1.08775627161256,3.5145726012008
"Franklin",125.395808708023,68.0545376344941,167.454678483913
"Fulton",145.945019830277,89.2045317142536,190.095259109754
"Gallatin",34.824558038523,14.1714296673996,49.6029362910446
"Greene",49.9482783632424,26.7109700765807,72.8253435644622
"Grundy",0,0,0
"Hamilton",81.148795425629,46.5769217682797,107.556152751466
"Hancock",143.623370905438,87.0108160408369,186.918249299823
"Hardin",26.4486943078074,22.3699690069908,27.8614775583915
"Henderson",74.5927731604118,47.9709825718003,93.0127373270268
"Henry",10.5453447664415,4.80336413042123,12.8466016959075
"Iroquois",14.4882655760534,9.01265780249471,20.8202597353803
"Jackson",99.7670007372762,72.6418597232948,121.502213220723
"Jasper",11.1456292959111,5.27613991436866,16.1480900287887
"Jefferson",186.065757308999,87.8182644895543,257.021601147591
"Jersey",28.5814118208183,15.805984175323,39.7089461842141
"Jo Daviess",28.4872013780346,7.94367015659724,50.5595068853997
"Johnson",54.254334308498,29.8439207104184,76.7233097456917
"Kane",0,0,0
"Kankakee",8.20129845379064,5.22825673330007,9.97545598406539
"Kendall",5.11911151786389,1.36170421285319,10.8737760443907
"Knox",25.0126470131875,11.6016031498208,36.4185087802325
"Lake",0,0,0
"LaSalle",23.0464237531421,7.31554938506472,36.1097702052693
"Lawrence",68.4094974279181,45.434569001,86.0453153780089
"Lee",23.0003456491531,17.1348883626706,29.3332156930974
"Livingston",5.87542757769415,1.296750079113,10.3509436049878
"Logan",16.1787126978598,10.4473893256309,23.7112961380779
"Macon",12.8036630152393,5.03982838771885,19.2386315396387
"Macoupin",204.183772377216,103.442723814678,274.648405536181
"Madison",256.640382770908,184.660563259875,292.745765481427
"Marion",124.540273852945,59.2603589660774,158.82484101987
"Marshall",11.082177825095,4.40845891372638,15.7230872008065
"Mason",47.261618293394,36.3975826738027,60.0092535704504
"Massac",24.4199295887776,12.374396445463,38.9545971445807
"McDonough",64.3024406871727,25.320218899214,110.858562309435
"McHenry",0,0,0
"McLean",14.7758287832342,5.45032426560387,23.7978413009747
"Menard",33.5843605714447,17.5716757504084,46.8930325890989
"Mercer",31.4698647263638,16.8562519541516,42.6580690900711
"Monroe",306.949957841583,247.282811321495,344.409998222011
"Montgomery",87.8810654999662,43.8804261902122,126.701756549235
"Morgan",35.5695487793706,3.99631724771701,92.1520091869595
"Moultrie",0.564547353707951,0.196322915005275,0.705822237330951
"Ogle",10.5262919316583,1.42054934817911,20.2983909097901
"Peoria",41.7152670487029,24.7664667579315,56.0230917885856
"Perry",77.4367125050333,38.4888400898143,103.330936196226
"Piatt",7.94962533503555,3.93921907017425,12.2877254775308
"Pike",205.275843963953,176.036289743638,230.766169183784
"Pope",70.3655811072746,48.5798994647311,80.7964905002979
"Pulaski",37.6184920695193,24.2634825089158,45.362491291038
"Putnam",3.13325311085229,1.32552639949499,4.02819518810778
"Randolph",271.309171179534,185.889623833345,319.688817446922
"Richland",38.6825747763401,15.5798813388921,49.3348714364329
"Rock Island",45.0963873391974,24.999217766069,53.3279696033427
"Saline",79.8443066660315,40.2920500309308,111.086725918427
"Sangamon",72.2712731124506,40.2148164125275,100.567277784791
"Schuyler",76.4035901700037,45.2061754302239,102.56048602269
"Scott",19.335125359515,6.74937023605888,40.662354127455
"Shelby",18.9680887440315,11.840626902722,22.7613763274628
"St. Clair",140.551492487836,100.081095794129,160.844266752137
"Stark",2.80510916549955,1.06108123345191,5.09898526576993
"Stephenson",18.7459129842505,10.1858710905552,31.0103029796968
"Tazewell",48.8266512495174,36.3996550892761,54.8546127070849
"Union",195.862994194944,159.579947235991,216.041032318142
"Vermilion",16.2788443020122,8.68836832180315,24.6604687349227
"Wabash",24.2019768278615,13.5214275905832,28.1496252805988
"Warren",22.9491306795011,12.4333814342836,31.9463161840101
"Washington",72.9498212345545,33.2527458206063,99.0486409114793
"Wayne",178.478411156578,89.8572013375318,245.410119539317
"White",81.4578856704114,41.3133876593168,120.386036568113
"Whiteside",13.1680299986753,8.27035822471847,16.6084698360771
"Will",0,0,0
"Williamson",158.147920202354,86.233119884422,203.640213678253
"Winnebago",13.5695559993295,5.87573078078164,24.1828185745046
"Woodford",53.1889084685631,29.3144405468934,79.7431525421252
